timestamp,arbitration_id,extended,remote,error,dlc,data
1753812802.4396868,0x309,0,0,0,8,AAAAAAAAAIQ=
1753812802.4398909,0x374,0,0,0,7,UgAAAFcABw==
1753812802.4405131,0x377,0,0,0,8,BOvsBKavuQ8=
1753812802.4405425,0x378,0,0,0,8,GSMgIi+gAAY=
1753812802.4437933,0x386,0,0,0,8,/+AAAAAAAAs=
1753812802.443831,0x156,0,0,0,6,ACsAAAcm
1753812802.4439218,0x1eb,0,0,0,2,ACw=
1753812802.444979,0x91,0,0,0,8,gAAIFgUAAD8=
1753812802.4450006,0x19b,0,0,0,5,AAAAADA=
1753812802.4450033,0x1a4,0,0,0,8,AGUQAAAAADo=
1753812802.445313,0x183,0,0,0,8,AAAAJQAAAAU=
1753812802.445328,0x1a8,0,0,0,4,AAAAMg==
1753812802.4458103,0x1aa,0,0,0,8,f/8AAAAAZTE=
1753812802.4459786,0x1b0,0,0,0,7,AAAAAAABdA==
1753812802.446329,0x1d0,0,0,0,8,AAAAAAAAAAo=
1753812802.446571,0x1ea,0,0,0,8,AAAAAAAAADw=
1753812802.4465969,0x255,0,0,0,8,AAAAAFVV2X0=
1753812802.4469814,0x3d9,0,0,0,3,AIAW
1753812802.4481378,0x133,0,0,0,5,AAAAAC8=
1753812802.4481542,0x13c,0,0,0,8,AAwANwAABCw=
1753812802.4483337,0x158,0,0,0,8,AAAAAAAAACg=
1753812802.4483953,0x161,0,0,0,8,BXgFeCAIACw=
1753812802.449128,0x17c,0,0,0,8,AAAC7gAAACQ=
1753812802.4491496,0x18e,0,0,0,3,CAAn
1753812802.449276,0x191,0,0,0,8,AQAAoUCAfx4=
1753812802.449303,0x1cf,0,0,0,8,gAUAAAAEADg=
1753812802.449806,0x1dc,0,0,0,4,AgLuOw==
1753812802.4498217,0x1ed,0,0,0,3,Af86
1753812802.449861,0x320,0,0,0,8,AAAAAAAAADA=
1753812802.4504068,0x324,0,0,0,8,fWYBfgAAADY=
1753812802.4504232,0x328,0,0,0,8,AAAAAACAACE=
1753812802.4508665,0x384,0,0,0,7,FGQABAAAMw==
1753812802.4510486,0x385,0,0,0,8,gAAAALuAAD8=
1753812802.45258,0x313,0,0,0,2,AD4=
1753812802.4531012,0x156,0,0,0,6,ACsAAAc1
1753812802.4540534,0x1e2,0,0,0,4,EFXwKw==
1753812802.4542935,0x1fb,0,0,0,1,DQ==
1753812802.45431,0x39b,0,0,0,2,AD4=
1753812802.4551508,0x91,0,0,0,8,gAAIGgUAAA4=
1753812802.4551675,0x19b,0,0,0,5,AAAAAAM=
1753812802.4562297,0x183,0,0,0,8,AAAAKgAAAB8=
1753812802.4581406,0x133,0,0,0,5,AAAAAD4=
1753812802.4581773,0x13c,0,0,0,8,AAwANwAABDs=
1753812802.45838,0x158,0,0,0,8,AAAAAAAAADc=
1753812802.458817,0x161,0,0,0,8,BXgFeCAIADs=
1753812802.4588552,0x17c,0,0,0,8,AAAC7gAAADM=
